"Measure","Aliases"
"Publish Forecast Bias Lag4","[]"
"Actuals Till Previous Month","[]"
"Flow 2 Intermediate Item Forecast","['Forecast at TPE Item level']"
"Final Pass through Forecast REG","[]"
"AR Forecast Override","[]"
"Final Pass Through Forecast","[]"
"Remaining Target to spread in AR Forecast","[]"
"D WIP Material Production Quantity","['Firm Plan']"
"Flow 2 and 3 TPE Remaining Target","[]"
"Flow 2 and 3 Cat9 TPE Final Split Ratio","['Cat9 to TPE Final Split Ratio']"
"Actuals Bias Lag4","[]"
"Stat Forecast Quantity Lag2","[]"
"Publish Forecast Bias Lag2","[]"
"Stat Forecast Quantity Lag4","[]"
"Standard Reel Length","[]"
"D Total Short Quantity COC Change %","['COC Total Short Quantity Change %']"
"SCH Output WO Quantity","['Total Quantity']"
"D Total Met On Time Quantity COC Change %","['COC Total Met on Time Change %']"
"D Total Late Quantity COC Change %","['COC Total Late Qauntity Change %']"
"Gap",""
"AL PO Lane Lead Time TG","['Observed Lead Time']"
"Final AR.2e4aac8c-b41b-4e08-af89-d56145e0f9c0",""
"Reverse Auction Flag","[]"
"PO Type - ETS","[]"
"PR Suspension","['RA Suspension Flag']"
"End Date of Suspension Period","['RA End Date of Suspension Period']"
"Flow 3 Interim TPE Forecast","['Forecast at Region TPE level']"
"Flow 2 Forecast Override","['Forecast at Item Region Override']"
"Flow 2 Item Region Final Split Ratio","['Item Region Final Split Ratio']"
"D Material Consumption Quantity Plan Output","['Dependent Demand']"
"PO Type - OWV","[]"
"Flow 2 Item Remaining Target","[]"
"Flow 2 and 3 Intermediate TPE forecast","['Forecast at Cat9 TPE level']"
"Flow 2 and 3 Intermediate TPE Final forecast","['Final Forecast at Cat9 TPE level']"
"W Ending On Hand","['Ending Stock']"
"Consensus Fcst Lag1","[]"
"Total C4 TKM Emissions","['C4 Emission (KgCO2e)']"
"Total Fugitive Emissions","['Fugitive Emission (KgCO2e)']"
"Netted Demand Quantity","[]"
"M Target Inventory","['Target Inventory']"
"D Demand On Time Supportability","['Supportability', 'Supportability']"
"Stat Forecast MAPE Lag4","[]"
"Actuals Lag2","[]"
"Stat Forecast MAPE Lag2","[]"
"Actuals MPE Lag4","[]"
"Actuals MAPE Lag2","[]"
"Actuals MAPE Lag4","[]"
"Actuals Lag4","[]"
"Stat Forecast MPE Lag2","[]"
"Stat Forecast Accuracy Lag4","[]"
"Stat Forecast Abs Error Lag2","[]"
"Stat Forecast Abs Error Lag4","[]"
"Stat Forecast Accuracy Lag2","[]"
"Stat Forecast MPE Lag4","[]"
"Actuals MPE Lag2","[]"
"Flow 2 TPE Item Reco Ratio Override","['TPE to Item Reco Ratio Override']"
"Monthly Spread Split Ratio Adjustment","['Monthly Spread Split Ratio Override']"
"Buyback Flag","[]"
"PO Type - OWC","[]"
"PO Type - ORV","[]"
"DC2DC Flag","[]"
"Dark2DC Flag","[]"
"PO Coverage","[]"
"CTDI Qty","['Quantity']"
"PO Type - BBG","[]"
"D Activity Priority","['Activity Priority']"
"D OnHand Quantity","['OnHand Quantity']"
"Open PO Qty External","[]"
"Item Price","['List Price']"
"Item Region to Item DC Reco Ratio","[]"
"W Base Capacity Utilization %","['Base Capacity Utilization %']"
"AL KPI Accuracy Fcst Lag 1","['Lag 1 Forecast Accuracy']"
"Total Scope 1 Emission","['Scope 1 Emission (KgCO2e)']"
"Scope 1 Area of Location","['Area of Location']"
"Total C9 TKM Emissions","['C9 Emission (KgCO2e)']"
"PO Commit Quantity","['Commit Quantity']"
"SCH Output Gantt Operation End Time","['Operation End']"
"SCH Output Gantt Operation Start Time","['Operation Start']"
"W Capacity RCA Quantity","['Capacity Constraint Quantity']"
"Total Stationary Emissions","['Stationary Emission (KgCO2e)']"
"Planned Supply",""
"Scope 1 Employees for Location","['Employees for Location']"
"D DOS Target","['DOS Target']"
"Planner Report Flag","[]"
"Flow 2 and 3 Intermediate TPE forecast Override","['Forecast at Cat9 TPE Override']"
"OWV","[]"
"ORV","[]"
"BBG","[]"
"ETS","[]"
"OWC","[]"
"Cat4 Info","[]"
"MGR","[]"
"VMI Active Status","[]"
"Demand Actuals Output Report","['Demand Actuals']"
"PF Demand Override","[]"
"Purchase History Output Report","['Purchase History']"
"BUYBACK_RCPT","[]"
"ORC","[]"
"Past Due PO Qty","['Total Past Due PO Qty']"
"Consensus Fcst LC","[]"
"Consensus Fcst Accuracy","[]"
"W Capacity Consumption Quantity Plan Output","['Planned Consumption']"
"D Material RCA UI",""
"D Material Root Cause Quantity",""
"W WOS Target","['WOS Target']"
"Total Scope 3 Emission","['Scope 3 Emission (KgCO2e)']"
"Flow 2 TPE Item Reco Ratio","['TPE to Item Reco Ratio/Last Cycle']"
"OnHand Override","[]"
"Material Production Association","[]"
"D Material RCA Quantity","['Material RCA Quantity']"
"Remaining Target Cat9.fd43eec9-f648-4f90-938a-1d02e01d60a6",""
"Flow 2 Item Region Final Forecast $ Value","['Final Forecast at Item Region level $ Value']"
"W Activity Priority","['Activity Priority']"
"Planning BOM Count","[]"
"Open PO Need By Dates NBD","['Open PO Need By Dates (NBD)']"
"In Transit VMI","['In Transit (VMI)']"
"D Resource Consumption Association","['Resource Consumption Association']"
"Final Purchase Forecast Intermediate","[]"
"M Beginning On Hand PF","['Beginning Stock']"
"Direct PO for PF","['Direct PO']"
"Netted Consolidated Forecast","[]"
"Purchase History Intermediate","['Purchase History 3MO AVG']"
"Flow 2 TPE Item Actuals","['Actuals at TPE Item level']"
"SCH Output Inventory Plan BOH","['Beginning On Hand']"
"Zero",""
"IO Future Forecast","['Future Forecast']"
"AL PO ML Predicted Lead Time","['ML Predicted Lead Time']"
"W Expiry Material Quantity","[]"
"D Demand Build Ahead Limit","['Demand Build Ahead Limit']"
"W Supplies Beyond Planning Horizon","[]"
"AL PO % of Total Purchase Value Time Phased TG","['Supplier % of Total Purchase Value']"
"D Demand Build Late Limit","['Demand Build Late Limit']"
"Consensus Fcst vs LC Gap","[]"
"AL KPI Historical Inventory on Hand","['Historical Inventory on Hand']"
"IO Suggested Safety Stock","['Recommended Safety Stock']"
"Consensus Fcst vs LC Gap %","[]"
"Consensus Fcst LY","[]"
"Past Due PO Qty with flag PF","['Past Due PO Qty with flag']"
"Material Consumption Association","[]"
"SO-Replen","[]"
"SO-Maintenance","[]"
"W Material Production Quantity Per","['Material Production Quantity Per']"
"D Inventory Alert Status","['Inventory Status']"
"D WOS","['DOS']"
"D Material Production Quantity Plan Output","['Production Plan']"
"LIST PRICE PER UNIT","[]"
"Material Type Inventory Association","[]"
"Actuals Error Lag4","[]"
"Actuals Error Lag2","[]"
"Flow 2 TPE Item Split Ratio","['TPE to Item Split Ratio']"
"Publish Forecast Error Lag2","[]"
"Publish Forecast Error Lag4","[]"
"D Beginning On Hand","['Beginning OnHand']"
"D Material Production Quantity Per","['Material Production Quantity Per']"
"SO-Provisioning","[]"
"Flow 1 Int Region Forecast","['Forecast at Cat9 Region level']"
"D Demand Fulfilled Quantity","[]"
"Stat Forecast Bias Lag2","[]"
"Stat Forecast Bias Lag4","[]"
"Ch INV Target","[]"
"SCH Output Inventory Plan Inflow","['Inflow Qty']"
"D Material RCA COC Change %",""
"D Material Production Pegged Quantity",""
"Consensus Fcst vs LC %","[]"
"SCH Output Inventory Plan Outflow","['Outflow Qty']"
"SCH Output Inventory Plan EOH","['Ending On Hand']"
"W Material Consumption Quantity Plan Output","['Material Consumption Quantity Plan Output']"
"D Material RCA LC","[]"
"SCH Output WO Met Late Qty","['Late Qty']"
"SCH Output WO Met-on-Time Qty","['On-Time Qty']"
"SCH Output WO Met Early Qty","['Early Qty']"
"AL STO Lead Time TG Outbound","['Observed Lead Time (Outbound)']"
"W Total Late Quantity COC Change %","['COC Total Late Qauntity Change %']"
"Consensus Fcst Lag2","[]"
"W Total Met On Time Quantity COC Change %","['COC Total Met on Time Change %']"
"AL KPI Inventory Min Target Quantity","['Min Inventory Target (Qty)']"
"AL KPI Inventory Max Target Quantity","['Max Inventory Target (Qty)']"
"Consensus Fcst vs LY Gap %","[]"
"Consensus Fcst vs LY Gap","[]"
"W Total Demand At Material Node","['Total outflow']"
"W Total Short Quantity COC Change %","['COC Total Short Quantity Change %']"
"AL KPI OTIF CD L12W","['Last 12 Weeks']"
"Consensus Fcst Lag3","[]"
"SCH Output WO Short Qty","['Short Qty']"
"Total Scope","['Total Emission (KgCO2e)']"
"AL KPI Days of Inventory","['Avg Days of Inventory']"
"Mobile Fuel Emissions","['Mobile Emission (KgCO2e)']"
"Consensus Fcst vs LC Abs Gap","[]"
